magnitude,felt,cdi,mmi,tsunami,sig,nst,dmin,rms,gap,depth,latitude,longitude,distanceKM,timezone
4.8,1893,6,5,0,994,37,0.287,0.48,70,4.044,32.3984,-102.044,33,-300
5.1,2042,6,5,0,1040,24,0,0.1,38,6.1279,32.414,-102.057,34,-300
3.7,1580,4,4,0,591,135,0.03294,0.28,99,10.9,34.0678,-118.807,6,-420
3.9,5,3,4,0,236,38,0,0.1,65,6.2024,31.647,-104.45,58,-300
4.1,4,3,4,0,260,28,0.043,0.26,67,8.814,31.6323,-104.473,60,-300
3.23,472,4,3,0,340,131,0.03137,0.26,88,10.95,34.0637,-118.812,6,-420
3.43,234,4,3,0,277,111,0.02408,0.29,92,11.02,34.0588,-118.799,5,-420
3.44,225,4,3,0,272,115,0.02561,0.31,84,10.93,34.0682,-118.8,7,-420
4.69,18592,5,5,1,818,145,0.03238,0.29,101,11.35,34.0703,-118.808,6,-420
3.5,0,0,3,0,188,14,0.301,0.1665,147.85,11.8,37.6127,-115.303,7,-420
3.8,5,3,4,0,224,32,0.1,0.2,66,6.1511,31.641,-104.356,56,-300
3.3,1,3,4,0,168,34,0,0.1,70,7.0227,31.586,-104.55,61,-300
3.8,2,3,4,0,223,45,0,0.1,66,6.0999,31.663,-104.452,57,-300
3.9,1,3,4,0,234,32,0.048,0.23,67,10,31.6305,-104.466,61,-300
3.35,13,4,4,0,178,41,0.08871,0.19,92,4.98,41.5833,-112.42,15,-360
3.94,2756,5,5,1,769,171,0.01545,0.23,15,4.84,34.0297,-117.586,4,-420
3.45,824,4,4,0,513,152,0.01628,0.22,20,5.96,34.0227,-117.593,5,-420
3.09,6,4,4,0,149,76,0.006999,0.08,39,-0.25,38.7893,-122.734,3,-420
4.28,241,5,5,1,398,121,0.009855,0.1,17,0.16,38.7765,-122.746,1,-420
3.17,11,3,2,0,158,94,0.1793,0.32,143,-0.1,33.7255,-118.599,22,-420
3.47,49,3,4,0,202,32,0.1282,0.12,53,5.29,38.6982,-119.598,18,-420
3.32,27,3,3,0,178,66,0.02036,0.12,49,11.39,36.07,-120.167,8,-420
3.1,0,0,3,0,148,24,0.196,0.187,114.78,8.3,37.741,-117.142,8,-420
3.1,0,0,3,0,148,10,0.453,0.67,124,5,37.743,-117.134,9,-420
3,0,0,3,0,138,32,0.5,0.69,38,5,37.7769,-117.067,16,-420
3.46,11,3,3,0,187,34,0.1385,0.07,64,9.43,37.432,-118.758,14,-420
3.14,5,3,2,0,153,89,0.1739,0.37,138,-0.11,33.7102,-118.628,21,-420
3.4,71,3,4,0,198,35,0.02849,0.05,64,3.36,37.4332,-118.469,7,-420
3.5,4,3,3,0,190,34,0.441,0.43,52,23.624,47.3504,-113.16,31,-360
3.4,0,0,4,0,178,25,0.1,0.1,50,6.0999,31.608,-103.99,39,-300
3.6,0,0,4,0,199,31,0.053,0.27,75,9.724,31.6125,-103.986,37,-300
3.6,0,0,4,0,199,54,0.14,0.56,54,9.194,31.6465,-104.339,58,-300
3.3,0,0,4,0,168,34,0.1,0.2,69,6.0999,31.663,-104.37,56,-300
3.9,0,0,4,0,234,32,0.1,0.2,57,6.7664,31.663,-104.363,56,-300
3.31,298,3,3,0,267,129,0.03591,0.2,14,15.85,33.6755,-116.723,7,-420
3.9,12,3,4,0,237,14,0.06,0.1836,54.74,4.2,38.6738,-118.545,17,-420
3.4,0,0,3,0,178,16,0.062,0.1843,40.89,5.7,38.6698,-118.546,17,-420
3.3,0,0,3,0,168,11,0.059,0.1593,48.94,5.3,38.6825,-118.555,17,-420
3.2,0,0,3,0,158,22,0.318,0.61,70,9.426,38.6833,-118.548,18,-420
3.3,3,2,3,0,168,23,0.053,0.1688,48.75,6.7,38.6669,-118.556,17,-420
4.3,30,4,4,0,297,13,0.068,0.1639,41.24,5.5,38.6847,-118.564,16,-420
4.3,9,4,4,0,288,32,0.332,0.71,88,5,38.7101,-118.532,20,-420
3.3,3,3,3,0,168,16,0.059,0.172,48.96,4.7,38.6808,-118.55,17,-420
3,2,2,3,0,139,15,0.064,0.1847,92.4,6,38.6871,-118.561,17,-420
3.9,3,3,5,0,235,36,0,0.1,66,6.0999,31.656,-104.457,57,-300
4.2,1,1,4,0,271,41,0.07,0.5,66,5,31.6187,-104.443,62,-300
3.8,5,5,4,0,225,18,0.1,0.1,63,8.0078,31.691,-101.701,28,-300
3.29,12,3,3,0,170,28,0.06768,0.25,92,9.23,37.0675,-112.864,13,-360
3.61,3877,4,4,0,610,158,0.03404,0.26,33,8.38,33.6777,-117.391,6,-420
4.4,544,4,4,0,526,43,0.19,0.1326,44.07,13.2,36.61,-115.727,8,-420
4.1,110,4,4,0,306,47,0.463,0.65,28,19.877,36.633,-115.709,7,-420
4.39,24227,5,5,1,836,192,0.03299,0.24,24,10.98,34.0843,-118.185,4,-420
3.66,5,5,4,0,209,32,0.02461,0.14,71,5,35.9492,-117.679,20,-420
3.6,1,2,4,0,200,25,0.283,0.09,44,0.739,31.7045,-101.712,28,-300
3.6,2,3,4,0,200,23,0.1,0.1,63,5.9326,31.704,-101.708,28,-300
4.44,760,4,6,0,630,99,0.04425,0.28,21,11.57,35.1017,-119.071,22,-420
3.78,335,5,4,0,397,68,0.05153,0.23,42,12.24,35.111,-119.117,25,-420
3.64,21,4,4,0,213,69,0.06045,0.27,23,12.96,35.107,-119.119,25,-420
3.5,3,2,4,0,189,95,0.04646,0.25,22,12.06,35.1037,-119.101,24,-420
3.44,145,5,4,0,252,75,0.04397,0.25,20,12.85,35.0965,-119.109,24,-420
3.58,24,5,4,0,209,44,0.03701,0.26,53,10.17,35.097,-119.116,23,-420
4.06,267,5,5,0,387,83,0.05247,0.29,22,11.09,35.1085,-119.075,22,-420
3.22,3,2,3,0,160,19,0.02978,0.2,160,13.7,35.0813,-119.107,22,-420
3.6,3,2,4,0,200,17,0.537,0.41,54,10,35.0708,-119.065,9,-420
4.6,252,4,5,0,429,49,0.05627,0.24,50,11.98,35.111,-119.119,25,-420
5.22,10498,7,7,1,1079,101,0.05144,0.26,21,11.6,35.1108,-119.092,24,-420
3.12,45,4,2,0,167,88,0.1959,0.27,151,0.8,33.8177,-118.757,22,-420
3.3,0,0,4,0,168,46,0.1,0.1,57,6.4075,31.673,-104.369,55,-300
3.4,0,0,4,0,178,39,0.1,0.1,57,6.2537,31.667,-104.365,56,-300
3.5,0,0,4,0,188,33,0.1,0.3,107,9.657,31.647,-104.386,58,-300
3.51,161,6,4,0,293,56,0.1807,0.16,32,2.84,34.9408,-116.799,22,-420
4.89,7873,6,5,0,948,53,0.1882,0.16,57,7.26,34.9498,-116.79,22,-420
4.47,3666,6,5,0,867,31,0.1214,0.16,71,19.57,37.4705,-112.848,24,-360
4.5,115,7,5,0,387,44,0.1,0.3,38,3.4424,31.475,-103.952,13,-300
3.45,5,3,4,0,185,92,0.07697,0.21,20,3.22,33.2223,-116.045,12,-420
3.4,0,0,4,0,178,50,0,0.2,56,5.4333,31.676,-104.41,55,-300
4.4,5,2,2,1,299,109,1.069,0.61,146,10,50.622,-129.763,192,-540
4,9,4,4,0,249,20,0.11,0.51,110,6.757,31.6529,-104.373,57,-300
4.2,45,5,5,0,293,35,0,0.2,56,5.5872,31.676,-104.407,55,-300
3.56,1242,4,4,0,575,118,0.09,0.25,129,11.6,33.8105,-118.468,8,-420
3.48,0,0,3,0,186,21,0.1937,0.18,63,6.82,31.5693,-115.702,84,-420
3.5,156,4,3,0,249,130,0.07691,0.2,15,13.7,33.197,-116.39,7,-420
3.01,109,4,3,0,184,144,0.07935,0.18,17,17.18,34.014,-117.019,3,-420
3.48,271,3,3,0,278,122,0.0745,0.12,46,14.11,46.3818,-122.33,20,-420
5.2,5,3,3,1,417,40,0.995,0.99,98,10,48.9111,-128.445,200,-540
6.4,79,3,4,1,657,95,0.882,0.94,76,10,48.8127,-128.725,210,-540
3.3,0,0,3,0,168,13,0.21,0.2364,78.03,5.1,38.2302,-118.798,34,-420
3.2,1,2,3,0,158,15,0.179,0.179,69.02,7.4,38.2323,-118.798,33,-420
3.44,2,3,3,0,183,37,0.1462,0.17,48,5.43,39.0397,-111.534,17,-360
3.9,1,3,4,0,234,82,0.209,1.04,52,10,31.5604,-115.544,67,-420
3.8,0,0,4,0,222,17,0.181,0.191,65.83,5.8,38.2737,-118.765,32,-420
3.8,131,4,4,0,269,90,0.201,0.73,41,22,47.2889,-113.214,24,-360
5.7,11,3,3,1,503,84,0.733,1.02,76,10,48.6926,-129.003,233,-540
3.5,0,0,4,0,188,32,0.1,0.1,62,5.4077,31.666,-104.192,54,-300
3.5,0,0,4,0,188,29,0.224,0.34,107,10.052,31.6677,-104.195,54,-300
3.7,0,0,4,0,211,32,0.1,0.1,61,5.946,31.669,-104.195,54,-300
3.8,0,0,4,0,222,29,0.231,0.3,112,8.828,31.6757,-104.202,55,-300
3.01,115,4,3,0,189,91,0.03972,0.27,121,16.77,34.0745,-119.009,15,-420
3.5,0,0,3,0,188,9,0.95,0.1281,49.84,7.5,39.3885,-116.636,33,-420
4.1,10,3,3,0,262,8,0.962,0.1941,94.69,7.6,39.52,-116.533,35,-420
5.4,102,8,6,0,534,102,3.326,1.13,51,10,31.1773,70.6295,31,300
5.4,6,4,4,0,451,110,2.669,0.75,34,224.338,36.543,71.2681,28,270
5.9,0,0,7,0,536,318,6.024,0.52,20,20.71,34.1604,86.3895,0,480
5.4,24,4,4,0,458,180,2.322,0.61,26,97.552,23.539,94.6946,29,390
5.1,2,3,5,0,401,176,1.34,0.68,70,29.068,40.14,77.0348,113,480
5.5,0,0,7,0,465,209,6.438,0.59,25,10,33.5485,81.8909,0,480
5.4,0,0,6,0,449,278,2.696,0.44,25,8,42.0113,82.6416,34,480
5.7,29,5,5,0,513,157,5.571,0.71,22,69.136,26.5566,97.0128,33,390
5.6,0,0,7,0,650,179,4.142,0.57,26,10,33.5147,92.9795,244,480
5.4,0,0,7,0,650,114,8.749,0.46,26,10,33.5068,93.0029,240,480
5.4,14,4,6,0,455,133,0.592,0.7,30,10,41.1648,78.4389,130,480
5.7,10,3,7,0,653,326,0.821,0.56,24,10,41.1867,78.7155,128,480
5.3,2,4,7,0,433,100,0.348,0.61,47,3.426,41.2706,78.8219,119,480
